run_id,experiment_id,trade_date,portfolio_id,benchmark,gross_return,transaction_cost,daily_return,turnover,nav,top_k,horizon,research_boundary,max_drawdown
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-03,top5_equal_weight,CSI300_DEMO,0.07030789299024875,0.001,0.06930789299024875,1.0,1.0693078929902486,5,5d,research_signals_only_not_investment_advice,0.0
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-04,top5_equal_weight,CSI300_DEMO,0.04498623441372929,0.00075,0.044236234413729286,0.75,1.1166100476050163,5,5d,research_signals_only_not_investment_advice,0.0
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-05,top5_equal_weight,CSI300_DEMO,-0.008448886198458827,0.00075,-0.009198886198458827,0.75,1.106338478849042,5,5d,research_signals_only_not_investment_advice,-0.009198886198458878
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-06,top5_equal_weight,CSI300_DEMO,-0.012102073700423066,0.001,-0.013102073700423066,1.0,1.091843150561548,5,5d,research_signals_only_not_investment_advice,-0.022180435413947763
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-07,top5_equal_weight,CSI300_DEMO,0.05065184302845962,0.001,0.04965184302845962,1.0,1.1460551752849288,5,5d,research_signals_only_not_investment_advice,0.0
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-10,top5_equal_weight,CSI300_DEMO,0.03819702601839927,0.0005714285714285714,0.0376255974469707,0.5714285714285714,1.1891761859622172,5,5d,research_signals_only_not_investment_advice,0.0
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-11,top5_equal_weight,CSI300_DEMO,0.0005869623757691622,0.001,-0.0004130376242308378,1.0,1.1886850114555754,5,5d,research_signals_only_not_investment_advice,-0.0004130376242309497
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-12,top5_equal_weight,CSI300_DEMO,-0.037525086804679565,0.001,-0.038525086804679566,1.0,1.1428908182058277,5,5d,research_signals_only_not_investment_advice,-0.03892221211858349
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-13,top5_equal_weight,CSI300_DEMO,-0.02418215379870612,0.0005714285714285714,-0.02475358237013469,0.5714285714285714,1.1146001761972992,5,5d,research_signals_only_not_investment_advice,-0.06271233030501289
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-14,top5_equal_weight,CSI300_DEMO,-0.001673815143942825,0.001,-0.002673815143942825,1.0,1.1116199413667416,5,5d,research_signals_only_not_investment_advice,-0.06521846427047417
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-17,top5_equal_weight,CSI300_DEMO,-0.026065610301981224,0.0008888888888888888,-0.026954499190870115,0.8888888888888888,1.0816567825566166,5,5d,research_signals_only_not_investment_advice,-0.09041503241893611
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-18,top5_equal_weight,CSI300_DEMO,-0.02617544284157569,0.0005714285714285714,-0.02674687141300426,0.5714285714285714,1.0527258476805708,5,5d,research_signals_only_not_investment_advice,-0.11474358458602851
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-19,top5_equal_weight,CSI300_DEMO,-0.04937688196580907,0.00075,-0.05012688196580907,0.75,0.9999559833715305,5,5d,research_signals_only_not_investment_advice,-0.15911872843095987
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-20,top5_equal_weight,CSI300_DEMO,-0.045254441024313884,0.0005714285714285714,-0.045825869595742454,0.5714285714285714,0.9541321308760643,5,5d,research_signals_only_not_investment_advice,-0.1976528439273848
research_loop_lightgbm_walk_forward_v001,exp_research_loop_cross_sectional_baseline_v001,2025-03-21,top5_equal_weight,CSI300_DEMO,0.0007283454420578872,0.00075,-2.1654557942112833e-05,0.75,0.9541114695665518,5,5d,research_signals_only_not_investment_advice,-0.1976702184003657
